,County,Count,Year,Suppression Information,Type of Overdose Death,County Code Number
139,Carbon,35.0,2018,,Any Drug Overdose Deaths,13
140,Snyder,1.0,2018,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,55
142,Perry,14.0,2018,,Any Drug Overdose Deaths,50
145,Columbia,14.0,2018,,Opioid Overdose Deaths,19
149,Montgomery,163.0,2018,,Opioid Overdose Deaths,46
151,Centre,14.0,2018,,Opioid Overdose Deaths,14
153,Bucks,209.0,2018,,Opioid Overdose Deaths,9
154,Bradford,10.0,2018,,Any Drug Overdose Deaths,8
156,Luzerne,156.0,2018,,Any Drug Overdose Deaths,40
157,Huntingdon,1.0,2018,Not displayed when count is between 1 and 9.,Opioid Overdose Deaths,31
160,Lancaster,95.0,2018,,Opioid Overdose Deaths,36
163,Elk,1.0,2018,Not displayed when count is between 1 and 9.,Opioid Overdose Deaths,24
164,York,158.0,2018,,Any Drug Overdose Deaths,67
169,Lycoming,1.0,2018,Not displayed when count is between 1 and 9.,Opioid Overdose Deaths,41
170,Washington,70.0,2018,,Opioid Overdose Deaths,63
172,Pennsylvania,3915.0,2018,,Opioid Overdose Deaths,0
174,Beaver,43.0,2018,,Any Drug Overdose Deaths,4
177,Carbon,33.0,2018,,Opioid Overdose Deaths,13
179,Lancaster,108.0,2018,,Any Drug Overdose Deaths,36
183,Monroe,49.0,2018,,Opioid Overdose Deaths,45
184,Somerset,13.0,2018,,Opioid Overdose Deaths,56
187,Northumberland,19.0,2018,,Any Drug Overdose Deaths,49
188,Wayne,17.0,2018,,Any Drug Overdose Deaths,64
189,Columbia,16.0,2018,,Any Drug Overdose Deaths,19
191,Franklin,31.0,2018,,Opioid Overdose Deaths,28
193,Philadelphia,1118.0,2018,,Any Drug Overdose Deaths,51
194,Pennsylvania,4413.0,2018,,Any Drug Overdose Deaths,0
198,Clearfield,18.0,2018,,Any Drug Overdose Deaths,17
199,Union,1.0,2018,Not displayed when count is between 1 and 9.,Opioid Overdose Deaths,60
200,Indiana,19.0,2018,,Any Drug Overdose Deaths,32
202,Cameron,0.0,2018,,Any Drug Overdose Deaths,12
203,Bedford,1.0,2018,Not displayed when count is between 1 and 9.,Opioid Overdose Deaths,5
206,Mifflin,11.0,2018,,Any Drug Overdose Deaths,44
209,Indiana,15.0,2018,,Opioid Overdose Deaths,32
210,Crawford,18.0,2018,,Opioid Overdose Deaths,20
213,Lawrence,36.0,2018,,Opioid Overdose Deaths,37
214,Lycoming,12.0,2018,,Any Drug Overdose Deaths,41
215,Forest,0.0,2018,,Any Drug Overdose Deaths,27
219,Somerset,13.0,2018,,Any Drug Overdose Deaths,56
220,Montour,1.0,2018,Not displayed when count is between 1 and 9.,Opioid Overdose Deaths,47
223,Elk,1.0,2018,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,24
224,Bucks,222.0,2018,,Any Drug Overdose Deaths,9
225,Bradford,1.0,2018,Not displayed when count is between 1 and 9.,Opioid Overdose Deaths,8
226,Pike,16.0,2018,,Opioid Overdose Deaths,52
227,Tioga,1.0,2018,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,59
231,Chester,98.0,2018,,Opioid Overdose Deaths,15
234,Lawrence,38.0,2018,,Any Drug Overdose Deaths,37
238,Huntingdon,1.0,2018,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,31
239,Pike,18.0,2018,,Any Drug Overdose Deaths,52
242,Crawford,19.0,2018,,Any Drug Overdose Deaths,20
244,Luzerne,147.0,2018,,Opioid Overdose Deaths,40
247,Bedford,1.0,2018,Not displayed when count is between 1 and 9.,Any Drug Overdose Deaths,5
248,Tioga,1.0,2018,Not displayed when count is between 1 and 9.,Opioid Overdose Deaths,59
251,Cameron,0.0,2018,,Opioid Overdose Deaths,12
253,Forest,0.0,2018,,Opioid Overdose Deaths,27
254,Wayne,15.0,2018,,Opioid Overdose Deaths,64
255,Northampton,69.0,2018,,Any Drug Overdose Deaths,48
256,Clarion,11.0,2018,,Any Drug Overdose Deaths,16
259,Adams,16.0,2018,,Opioid Overdose Deaths,1
260,Washington,73.0,2018,,Any Drug Overdose Deaths,63
262,Delaware,161.0,2018,,Opioid Overdose Deaths,23
263,Mifflin,11.0,2018,,Opioid Overdose Deaths,44
266,Snyder,1.0,2018,Not displayed when count is between 1 and 9.,Opioid Overdose Deaths,55
267,Clarion,1.0,2018,Not displayed when count is between 1 and 9.,Opioid Overdose Deaths,16
271,Jefferson,1.0,2018,Not displayed when count is between 1 and 9.,Opioid Overdose Deaths,33
