County Name,Rate or Count,Type of Drug Class,Type of Rate or Count Measure,Time Measure,Year,Time Period,Quarter Date Start,Notes,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude
Mifflin,1725.230663,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2018,2018 Q2,04/01/2018,,44,44,42,087,"(40.6127492804, -77.6200308901)"
Montgomery,97260,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2018,2018 Q4,10/01/2018,,46,46,42,091,"(40.209898739, -75.3725200072)"
Columbia,1959.443063,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2017,2017 Q4,10/01/2017,,19,19,42,037,"(41.0491208559, -76.4100217975)"
Schuylkill,2612.068542,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2016,2016 Q3,07/01/2016,,54,54,42,107,"(40.707512431, -76.223323851)"
Philadelphia,1803.204958,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2016,2016 Q3,07/01/2016,,51,51,42,101,"(40.0044435384, -75.140236002)"
Clinton,6451,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2018,2018 Q4,10/01/2018,,18,18,42,035,"(41.2328627374, -77.6428376046)"
Fulton,1363.94791,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2018,2018 Q3,07/01/2018,,29,29,42,057,"(39.9248751086, -78.1148504535)"
Bedford,8372,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2017,2017 Q4,10/01/2017,,5,05,42,009,"(40.0073753643, -78.4911647381)"
McKean,2245.584321,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,,42,42,42,083,"(41.810370736, -78.5712201998)"
Fayette,29199,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2017,2017 Q4,10/01/2017,,26,26,42,051,"(39.919447803, -79.6518963464)"
Butler,2204.876328,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2016,2016 Q3,07/01/2016,,10,10,42,019,"(40.9108318483, -79.9171177889)"
Armstrong,15046,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2017,2017 Q1,01/01/2017,,3,03,42,005,"(40.8150952555, -79.4731689893)"
Snyder,1244.087155,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2018,2018 Q1,01/01/2018,,55,55,42,109,"(40.7711373692, -77.0725596804)"
Lackawanna,47343,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2018,2018 Q2,04/01/2018,,35,35,42,069,"(41.4391006428, -75.6121834524)"
Carbon,13241,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2018,2018 Q2,04/01/2018,,13,13,42,025,"(40.9193670081, -75.7110703866)"
Philadelphia,1705.783487,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2017,2017 Q2,04/01/2017,,51,51,42,101,"(40.0044435384, -75.140236002)"
Warren,2782.470562,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2017,2017 Q2,04/01/2017,,62,62,42,123,"(41.8167523652, -79.278581578)"
Carbon,16373,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2016,2016 Q4,10/01/2016,,13,13,42,025,"(40.9193670081, -75.7110703866)"
Greene,2691.868371,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2017,2017 Q3,07/01/2017,,30,30,42,059,"(39.8548039342, -80.2294381655)"
Juniata,3281,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2016,2016 Q4,10/01/2016,,34,34,42,067,"(40.5343300836, -77.405775001)"
Erie,2186.376534,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2017,2017 Q3,07/01/2017,,25,25,42,049,"(41.9941378702, -80.0407591036)"
Allegheny,2000.780018,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,,2,02,42,003,"(40.4673554298, -79.9861984282)"
Elk,2482.696957,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,,24,24,42,047,"(41.4281941606, -78.6494771322)"
Forest,1093.60011,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,,27,27,42,053,"(41.5135787577, -79.2378099483)"
Tioga,1241.634594,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2018,2018 Q4,10/01/2018,,59,59,42,117,"(41.7733383358, -77.2578807579)"
Allegheny,2245.488321,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2017,2017 Q3,07/01/2017,,2,02,42,003,"(40.4673554298, -79.9861984282)"
Jefferson,2484.476304,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2016,2016 Q3,07/01/2016,,33,33,42,065,"(41.1313909115, -79.0010181419)"
York,1391.057169,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2017,2017 Q4,10/01/2017,,67,67,42,133,"(39.9219253124, -76.7257605231)"
Elk,1592.542306,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2018,2018 Q4,10/01/2018,,24,24,42,047,"(41.4281941606, -78.6494771322)"
Crawford,2187.467357,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2017,2017 Q2,04/01/2017,,20,20,42,039,"(41.6854690692, -80.1132108295)"
Beaver,31284,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2018,2018 Q2,04/01/2018,,4,04,42,007,"(40.6834924548, -80.3510735648)"
Washington,1927.707937,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2017,2017 Q1,01/01/2017,,63,63,42,125,"(40.1910966345, -80.2518008276)"
Clinton,8364,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2018,2018 Q1,01/01/2018,,18,18,42,035,"(41.2328627374, -77.6428376046)"
Bradford,10889,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2017,2017 Q4,10/01/2017,,8,08,42,015,"(41.7911781401, -76.5182562384)"
Pennsylvania,1844.293605,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2017,2017 Q1,01/01/2017,,0,00,42,000,"(39.346129, -75.167756)"
Greene,1814.79467,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2017,2017 Q4,10/01/2017,,30,30,42,059,"(39.8548039342, -80.2294381655)"
Jefferson,2034.517396,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2017,2017 Q4,10/01/2017,,33,33,42,065,"(41.1313909115, -79.0010181419)"
Centre,14174,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2018,2018 Q3,07/01/2018,,14,14,42,027,"(40.9193135008, -77.8250011212)"
Huntingdon,8355,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2017,2017 Q1,01/01/2017,,31,31,42,061,"(40.4161050032, -77.9827661036)"
Fayette,39919,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2017,2017 Q2,04/01/2017,,26,26,42,051,"(39.919447803, -79.6518963464)"
Venango,9362,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2017,2017 Q3,07/01/2017,,61,61,42,121,"(41.4034125863, -79.7628656104)"
Clearfield,17615,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2018,2018 Q4,10/01/2018,,17,17,42,033,"(41.0004290024, -78.4755834299)"
Cameron,1087,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2017,2017 Q4,10/01/2017,,12,12,42,023,"(41.4388026531, -78.2091693241)"
Montgomery,140279,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2017,2017 Q2,04/01/2017,,46,46,42,091,"(40.209898739, -75.3725200072)"
Clarion,1887.253627,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2018,2018 Q1,01/01/2018,,16,16,42,031,"(41.1927912877, -79.4248360769)"
Washington,1618.443014,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2018,2018 Q2,04/01/2018,,63,63,42,125,"(40.1910966345, -80.2518008276)"
Butler,36354,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2017,2017 Q2,04/01/2017,,10,10,42,019,"(40.9108318483, -79.9171177889)"
Bedford,1310.437294,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2018,2018 Q2,04/01/2018,,5,05,42,009,"(40.0073753643, -78.4911647381)"
Elk,5459,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2018,2018 Q4,10/01/2018,,24,24,42,047,"(41.4281941606, -78.6494771322)"
Cameron,2007.839721,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2018,2018 Q3,07/01/2018,,12,12,42,023,"(41.4388026531, -78.2091693241)"
Mercer,23991,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2018,2018 Q2,04/01/2018,,43,43,42,085,"(41.302377765, -80.2600941079)"
Chester,1083.723447,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2018,2018 Q2,04/01/2018,,15,15,42,029,"(39.9748705566, -75.7562649818)"
Philadelphia,1452.611643,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2018,2018 Q1,01/01/2018,,51,51,42,101,"(40.0044435384, -75.140236002)"
Northampton,1443.1865,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2017,2017 Q4,10/01/2017,,48,48,42,095,"(40.754595404, -75.3126372576)"
Jefferson,1902.794265,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2018,2018 Q1,01/01/2018,,33,33,42,065,"(41.1313909115, -79.0010181419)"
Washington,46004,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2017,2017 Q4,10/01/2017,,63,63,42,125,"(40.1910966345, -80.2518008276)"
Cambria,35753,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2017,2017 Q3,07/01/2017,,11,11,42,021,"(40.4912749067, -78.7189417385)"
Cambria,1949.659537,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2018,2018 Q4,10/01/2018,,11,11,42,021,"(40.4912749067, -78.7189417385)"
Union,5855,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2018,2018 Q1,01/01/2018,,60,60,42,119,"(40.9647313096, -77.0641580308)"
Mifflin,2362.248857,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2018,2018 Q2,04/01/2018,,44,44,42,087,"(40.6127492804, -77.6200308901)"
Huntingdon,5753,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2017,2017 Q2,04/01/2017,,31,31,42,061,"(40.4161050032, -77.9827661036)"
Fulton,1307.745031,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2018,2018 Q2,04/01/2018,,29,29,42,057,"(39.9248751086, -78.1148504535)"
Sullivan,1419,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2017,2017 Q2,04/01/2017,,57,57,42,113,"(41.4480993958, -76.5147922046)"
Adams,13646,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2016,2016 Q3,07/01/2016,,1,01,42,001,"(39.8720956503, -77.2222427076)"
Elk,5880,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2018,2018 Q2,04/01/2018,,24,24,42,047,"(41.4281941606, -78.6494771322)"
Crawford,2081.036224,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2017,2017 Q3,07/01/2017,,20,20,42,039,"(41.6854690692, -80.1132108295)"
Greene,9696,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2016,2016 Q4,10/01/2016,,30,30,42,059,"(39.8548039342, -80.2294381655)"
Cameron,769,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2018,2018 Q3,07/01/2018,,12,12,42,023,"(41.4388026531, -78.2091693241)"
Schuylkill,23288,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2018,2018 Q4,10/01/2018,,54,54,42,107,"(40.707512431, -76.223323851)"
Perry,1099.356125,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2018,2018 Q1,01/01/2018,,50,50,42,099,"(40.4041531744, -77.2590738496)"
Beaver,30331,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2018,2018 Q4,10/01/2018,,4,04,42,007,"(40.6834924548, -80.3510735648)"
Pike,872.6724246,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2018,2018 Q3,07/01/2018,,52,52,42,103,"(41.332571995, -75.0327092448)"
Montour,2469.352014,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2018,2018 Q3,07/01/2018,,47,47,42,093,"(41.0280182438, -76.6647052668)"
Cumberland,41588,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2016,2016 Q4,10/01/2016,,21,21,42,041,"(40.167598388, -77.268662705)"
Potter,1464.111415,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2017,2017 Q1,01/01/2017,,53,53,42,105,"(41.7442064382, -77.8987922939)"
Lawrence,2313.567401,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2017,2017 Q2,04/01/2017,,37,37,42,073,"(40.9932503514, -80.3375411446)"
Susquehanna,1213.370745,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2017,2017 Q1,01/01/2017,,58,58,42,115,"(41.8205685982, -75.8025030296)"
Delaware,80865,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2018,2018 Q1,01/01/2018,,23,23,42,045,"(39.9165786652, -75.4062771212)"
Schuylkill,1845.983348,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2017,2017 Q3,07/01/2017,,54,54,42,107,"(40.707512431, -76.223323851)"
Berks,51065,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2018,2018 Q2,04/01/2018,,6,06,42,011,"(40.4193963513, -75.9307732705)"
Carbon,10649,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2017,2017 Q4,10/01/2017,,13,13,42,025,"(40.9193670081, -75.7110703866)"
Blair,2692.273423,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2017,2017 Q2,04/01/2017,,7,07,42,013,"(40.4855502384, -78.349076871)"
Philadelphia,1624.701192,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2017,2017 Q3,07/01/2017,,51,51,42,101,"(40.0044435384, -75.140236002)"
Crawford,2205.573417,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2018,2018 Q2,04/01/2018,,20,20,42,039,"(41.6854690692, -80.1132108295)"
Monroe,24939,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2018,2018 Q2,04/01/2018,,45,45,42,089,"(41.0609178653, -75.3408360302)"
Lebanon,1737.553129,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2016,2016 Q3,07/01/2016,,38,38,42,075,"(40.3675970024, -76.4618257486)"
Perry,1170.897739,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2017,2017 Q4,10/01/2017,,50,50,42,099,"(40.4041531744, -77.2590738496)"
Adams,10221,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2018,2018 Q1,01/01/2018,,1,01,42,001,"(39.8720956503, -77.2222427076)"
Fayette,38142,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2017,2017 Q3,07/01/2017,,26,26,42,051,"(39.919447803, -79.6518963464)"
Lackawanna,57182,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2017,2017 Q1,01/01/2017,,35,35,42,069,"(41.4391006428, -75.6121834524)"
Snyder,5583,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2018,2018 Q2,04/01/2018,,55,55,42,109,"(40.7711373692, -77.0725596804)"
Northampton,45722,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2018,2018 Q2,04/01/2018,,48,48,42,095,"(40.754595404, -75.3126372576)"
Armstrong,12673,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2018,2018 Q2,04/01/2018,,3,03,42,005,"(40.8150952555, -79.4731689893)"
Westmoreland,2213.954121,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2017,2017 Q2,04/01/2017,,65,65,42,129,"(40.3103149985, -79.471341176)"
Wayne,1829.508837,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2018,2018 Q1,01/01/2018,,64,64,42,127,"(41.6496980525, -75.3051535022)"
Lehigh,64428,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2018,2018 Q3,07/01/2018,,39,39,42,077,"(40.6146479416, -75.6009948118)"
Chester,70322,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2016,2016 Q4,10/01/2016,,15,15,42,029,"(39.9748705566, -75.7562649818)"
Cumberland,1321.731063,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2018,2018 Q3,07/01/2018,,21,21,42,041,"(40.167598388, -77.268662705)"
Potter,3270,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2017,2017 Q3,07/01/2017,,53,53,42,105,"(41.7442064382, -77.8987922939)"
Lackawanna,2649.066953,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2017,2017 Q1,01/01/2017,,35,35,42,069,"(41.4391006428, -75.6121834524)"
Butler,2079.280416,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,,10,10,42,019,"(40.9108318483, -79.9171177889)"
Jefferson,1653.501963,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2017,2017 Q2,04/01/2017,,33,33,42,065,"(41.1313909115, -79.0010181419)"
Montour,3612.631349,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2016,2016 Q3,07/01/2016,,47,47,42,093,"(41.0280182438, -76.6647052668)"
Northampton,47032,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2016,2016 Q4,10/01/2016,,48,48,42,095,"(40.754595404, -75.3126372576)"
Wayne,2101.357289,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2016,2016 Q3,07/01/2016,,64,64,42,127,"(41.6496980525, -75.3051535022)"
Beaver,40350,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2016,2016 Q3,07/01/2016,,4,04,42,007,"(40.6834924548, -80.3510735648)"
Perry,9092,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2016,2016 Q3,07/01/2016,,50,50,42,099,"(40.4041531744, -77.2590738496)"
Wyoming,5198,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2018,2018 Q3,07/01/2018,,66,66,42,131,"(41.5189248803, -76.0181300338)"
Montour,2523.533275,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2018,2018 Q2,04/01/2018,,47,47,42,093,"(41.0280182438, -76.6647052668)"
Centre,16008,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2017,2017 Q2,04/01/2017,,14,14,42,027,"(40.9193135008, -77.8250011212)"
Bedford,7800,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2017,2017 Q3,07/01/2017,,5,05,42,009,"(40.0073753643, -78.4911647381)"
Snyder,1571.285018,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2017,2017 Q1,01/01/2017,,55,55,42,109,"(40.7711373692, -77.0725596804)"
Lehigh,1290.744187,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2018,2018 Q3,07/01/2018,,39,39,42,077,"(40.6146479416, -75.6009948118)"
Northumberland,21192,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2017,2017 Q4,10/01/2017,,49,49,42,097,"(40.8515092572, -76.7118842273)"
