County Name,Time Period,Time Period Date Start,Time Period Date End,"Rate of Hospitalizations for Opioid Overdose per 100,000 Residents",Type of Rate,FIPS County Code,State FIPS Code,County FIPS Code,County Code Number,Latitude/Longitude Geo-referenced Column
JUNIATA,CY 2016 - CY 2017,1/1/2016,12/31/2017,,Not reported due to low volume,42067,42,67,34,"(40.5343300836, -77.405775001)"
MONROE,CY 2016 - CY 2017,1/1/2016,12/31/2017,43.7,Rate of hospitalizations for opioid overdose per 100000 population,42089,42,89,45,"(41.0609178653, -75.3408360302)"
WAYNE,CY 2016 - CY 2017,1/1/2016,12/31/2017,50.2,Rate of hospitalizations for opioid overdose per 100000 population,42127,42,127,64,"(41.6496980525, -75.3051535022)"
CLEARFIELD,CY 2016 - CY 2017,1/1/2016,12/31/2017,38,Rate of hospitalizations for opioid overdose per 100000 population,42033,42,33,17,"(41.0004290024, -78.4755834299)"
DAUPHIN,CY 2016 - CY 2017,1/1/2016,12/31/2017,61.9,Rate of hospitalizations for opioid overdose per 100000 population,42043,42,43,22,"(40.4197463597, -76.7796056802)"
MIFFLIN,CY 2016 - CY 2017,1/1/2016,12/31/2017,31.7,Rate of hospitalizations for opioid overdose per 100000 population,42087,42,87,44,"(40.6127492804, -77.6200308901)"
TIOGA,CY 2016 - CY 2017,1/1/2016,12/31/2017,49,Rate of hospitalizations for opioid overdose per 100000 population,42117,42,117,59,"(41.7733383358, -77.2578807579)"
FOREST,CY 2016 - CY 2017,1/1/2016,12/31/2017,,Not reported due to low volume,42053,42,53,27,"(41.5135787577, -79.2378099483)"
CAMERON,CY 2016 - CY 2017,1/1/2016,12/31/2017,,Not reported due to low volume,42023,42,23,12,"(41.4388026531, -78.2091693241)"
SCHUYLKILL,CY 2016 - CY 2017,1/1/2016,12/31/2017,52.2,Rate of hospitalizations for opioid overdose per 100000 population,42107,42,107,54,"(40.707512431, -76.223323851)"
NORTHUMBERLAND,CY 2016 - CY 2017,1/1/2016,12/31/2017,56.8,Rate of hospitalizations for opioid overdose per 100000 population,42097,42,97,49,"(40.8515092572, -76.7118842273)"
BLAIR,CY 2016 - CY 2017,1/1/2016,12/31/2017,67.7,Rate of hospitalizations for opioid overdose per 100000 population,42013,42,13,7,"(40.4855502384, -78.349076871)"
LEHIGH,CY 2016 - CY 2017,1/1/2016,12/31/2017,52.5,Rate of hospitalizations for opioid overdose per 100000 population,42077,42,77,39,"(40.6146479416, -75.6009948118)"
WYOMING,CY 2016 - CY 2017,1/1/2016,12/31/2017,43.3,Rate of hospitalizations for opioid overdose per 100000 population,42131,42,131,66,"(41.5189248803, -76.0181300338)"
ARMSTRONG,CY 2016 - CY 2017,1/1/2016,12/31/2017,51.8,Rate of hospitalizations for opioid overdose per 100000 population,42005,42,5,3,"(40.8150952555, -79.4731689893)"
LACKAWANNA,CY 2016 - CY 2017,1/1/2016,12/31/2017,69.2,Rate of hospitalizations for opioid overdose per 100000 population,42069,42,69,35,"(41.4391006428, -75.6121834524)"
NORTHAMPTON,CY 2016 - CY 2017,1/1/2016,12/31/2017,61.7,Rate of hospitalizations for opioid overdose per 100000 population,42095,42,95,48,"(40.754595404, -75.3126372576)"
WASHINGTON,CY 2016 - CY 2017,1/1/2016,12/31/2017,62.5,Rate of hospitalizations for opioid overdose per 100000 population,42125,42,125,63,"(40.1910966345, -80.2518008276)"
CLINTON,CY 2016 - CY 2017,1/1/2016,12/31/2017,36.8,Rate of hospitalizations for opioid overdose per 100000 population,42035,42,35,18,"(41.2328627374, -77.6428376046)"
PERRY,CY 2016 - CY 2017,1/1/2016,12/31/2017,66.3,Rate of hospitalizations for opioid overdose per 100000 population,42099,42,99,50,"(40.4041531744, -77.2590738496)"
YORK,CY 2016 - CY 2017,1/1/2016,12/31/2017,68.7,Rate of hospitalizations for opioid overdose per 100000 population,42133,42,133,67,"(39.9219253124, -76.7257605231)"
CLARION,CY 2016 - CY 2017,1/1/2016,12/31/2017,,Not reported due to low volume,42031,42,31,16,"(41.1927912877, -79.4248360769)"
HUNTINGDON,CY 2016 - CY 2017,1/1/2016,12/31/2017,46.6,Rate of hospitalizations for opioid overdose per 100000 population,42061,42,61,31,"(40.4161050032, -77.9827661036)"
CAMBRIA,CY 2016 - CY 2017,1/1/2016,12/31/2017,102.1,Rate of hospitalizations for opioid overdose per 100000 population,42021,42,21,11,"(40.4912749067, -78.7189417385)"
MERCER,CY 2016 - CY 2017,1/1/2016,12/31/2017,74.7,Rate of hospitalizations for opioid overdose per 100000 population,42085,42,85,43,"(41.302377765, -80.2600941079)"
LUZERNE,CY 2016 - CY 2017,1/1/2016,12/31/2017,54.5,Rate of hospitalizations for opioid overdose per 100000 population,42079,42,79,40,"(41.1783643884, -75.991996098)"
FAYETTE,CY 2016 - CY 2017,1/1/2016,12/31/2017,70.7,Rate of hospitalizations for opioid overdose per 100000 population,42051,42,51,26,"(39.919447803, -79.6518963464)"
SNYDER,CY 2016 - CY 2017,1/1/2016,12/31/2017,,Not reported due to low volume,42109,42,109,55,"(40.7711373692, -77.0725596804)"
DELAWARE,CY 2016 - CY 2017,1/1/2016,12/31/2017,84.9,Rate of hospitalizations for opioid overdose per 100000 population,42045,42,45,23,"(39.9165786652, -75.4062771212)"
BRADFORD,CY 2016 - CY 2017,1/1/2016,12/31/2017,52.3,Rate of hospitalizations for opioid overdose per 100000 population,42015,42,15,8,"(41.7911781401, -76.5182562384)"
SUSQUEHANNA,CY 2016 - CY 2017,1/1/2016,12/31/2017,28.9,Rate of hospitalizations for opioid overdose per 100000 population,42115,42,115,58,"(41.8205685982, -75.8025030296)"
LANCASTER,CY 2016 - CY 2017,1/1/2016,12/31/2017,53.2,Rate of hospitalizations for opioid overdose per 100000 population,42071,42,71,36,"(40.0459079619, -76.2513876838)"
GREENE,CY 2016 - CY 2017,1/1/2016,12/31/2017,35.1,Rate of hospitalizations for opioid overdose per 100000 population,42059,42,59,30,"(39.8548039342, -80.2294381655)"
PHILADELPHIA,CY 2016 - CY 2017,1/1/2016,12/31/2017,100.6,Rate of hospitalizations for opioid overdose per 100000 population,42101,42,101,51,"(40.0044435384, -75.140236002)"
COLUMBIA,CY 2016 - CY 2017,1/1/2016,12/31/2017,81.2,Rate of hospitalizations for opioid overdose per 100000 population,42037,42,37,19,"(41.0491208559, -76.4100217975)"
BEAVER,CY 2016 - CY 2017,1/1/2016,12/31/2017,72,Rate of hospitalizations for opioid overdose per 100000 population,42007,42,7,4,"(40.6834924548, -80.3510735648)"
MONTOUR,CY 2016 - CY 2017,1/1/2016,12/31/2017,,Not reported due to low volume,42093,42,93,47,"(41.0280182438, -76.6647052668)"
CHESTER,CY 2016 - CY 2017,1/1/2016,12/31/2017,49.7,Rate of hospitalizations for opioid overdose per 100000 population,42029,42,29,15,"(39.9748705566, -75.7562649818)"
WARREN,CY 2016 - CY 2017,1/1/2016,12/31/2017,35.6,Rate of hospitalizations for opioid overdose per 100000 population,42123,42,123,62,"(41.8167523652, -79.278581578)"
