Drug Take-Back Site,Zip Code,County,County Code Number,County Code,FIPS County Code,State FIPS,Phone Number,Hours of Availability,Location 1
Warren County SheriffÆs Department,16365,Warren,62,62,62,42,NA,NA,"407 Market St
Warren, Pennsylvania
(41.8488, -79.1469)"
Township of Derry Police Dept.,17033,Dauphin,22,22,22,42,(717) 534-2202,"7 days a week, 24 hours a day","620 Clearwater Road
Hershey, Pennsylvania
(40.283, -76.6815)"
Spring Garden Township Police Department,17403,York,67,67,67,42,(717) 843-0851,"Monday-Friday, 8am-4:30pm","340 Tri Hill Road
Spring Garden Township, Pennsylvania
(39.9418, -76.7081)"
West Brandywine Township Police Department,19320,Chester,15,15,15,42,(610) 380-8201,"7 days a week, 24 hours a day","198 Lafayette Road
Coatesville, Pennsylvania
(40.041, -75.8237)"
Sullivan County Courthouse ,18626,Sullivan,57,57,57,42,(570) 946-7361,Contact location for hours,"245 Muncy Street
Laporte, Pennsylvania
(41.4237, -76.4938)"
WellSpan Pharmacy (Fairfield),17320,Adams,1,1,1,42,(717) 642-8812,"Monday-Friday, 9am-6pm; Saturday, 9am-1pm","4910 Fairfield Rd
Fairfield, Pennsylvania
(39.7799, -77.3786)"
Millersville University Police Dept.,17551,Lancaster,36,36,36,42,(717) 872-3434,"Monday-Friday, 8:30am-4:30pm","237 N. George Street
Millersville, Pennsylvania
(40.0023, -76.3565)"
Manheim Twp. Police Dept.,17601,Lancaster,36,36,36,42,(717) 569-6401,"7 days a week, 24 hours a day","1825 Municipal Drive
Lancaster, Pennsylvania
(40.0766, -76.2984)"
Parks Township Police Dept.,15690,Armstrong,3,3,3,42,(724) 567-5525,Contact location for hours,"26 Jackson Street
Vandergrift, Pennsylvania
(40.6081, -79.56)"
NJ State Police,18343,Northampton,48,48,48,42,(973) 383-1515,"7 days a week, 24 hours a day","206 Division Street
Mount Bethel, Pennsylvania
(40.9215, -75.099)"
Northumberland County Sheriff's Office,17801,Northumberland,49,49,49,42,(570) 988-4155,Contact location for hours,"201 Market Street
Sunbury, Pennsylvania
(40.8621, -76.7949)"
Perkasie Borough Police,18944,Bucks,9,9,9,42,(215) 257-6876,M-F 8:30-4:30,"311 S. 9th Street
Perkasie, Pennsylvania
(40.3728, -75.3018)"
Norristown Police Dept. ,19401,Montgomery,46,46,46,42,(610) 270-0977,Contact location for hours,"235 East Airy Street
Norristown, Pennsylvania
(40.1147, -75.339)"
Alliance Pharmacy Company - Jefferson Health,19001,Montgomery,46,46,46,42,(215) 481-4318,"Monday-Friday, 7:30am-5:30pm","1245 Highland Ave
Abington, Pennsylvania
(40.1187, -75.1225)"
Masontown Borough Police Dept.,15461,Fayette,26,26,26,42,(724) 583-7779,Contact location for hours,"1 East Church Avenue
Masontown, Pennsylvania
(39.8471, -79.8993)"
Slate Belt Regional Police Dept.,18064,Northampton,48,48,48,42,(610) 759-8517,Contact location for hours,"6292 Sullivan Trail Road
Nazareth, Pennsylvania
(40.7404, -75.3096)"
Warminster Township Police,18974,Bucks,9,9,9,42,(215) 443-5000,"7 days a week, 24 hours a day","401 Gibson Avenue
Warminster, Pennsylvania
(40.2054, -75.1079)"
Fairview Township Police Department,17070,York,67,67,67,42,(717) 901-5267,"Monday-Friday, 8am-4:30pm","145 Limekiln Road, Suite 600
New Cumberland, Pennsylvania
(40.2145, -76.8743)"
Lansford Police Dept.,18232,Carbon,13,13,13,42,(570) 645-5844,Contact location for hours,"1 West Ridge Street
Lansford, Pennsylvania
(40.832, -75.8845)"
Lebanon City Police Dept.,17042,Lebanon,38,38,38,42,(717) 272-6611,"Monday-Friday, 7:30am-4:30pm ","400 South Eighth Street
Lebanon, Pennsylvania
(40.333, -76.4233)"
State College Police Dept.,16801,Centre,14,14,14,42,(814) 234-7150,Contact location for hours,"243 South Allen Street
State College, Pennsylvania
(40.7928, -77.8588)"
South Fayette Township Police Dept.,15064,Allegheny,2,2,2,42,(412) 221-8700,"Monday-Friday, 8am-4:30pm","515 Millers Run Road
South Fayette, Pennsylvania
(40.3551, -80.1434)"
Salisbury Township Police Dept.,18036,Lehigh,39,39,39,42,(610) 398-0337,"Monday-Friday, 8am-4pm, or by appointment.","3000 S. Pike Avenue
Allentown, Pennsylvania
(40.5704, -75.4504)"
Coraopolis Borough Police Dept.,15108,Allegheny,2,2,2,42,(412) 264-3000,Contact location for hours,"1012 Fifth Avenue
Coraopolis, Pennsylvania
(40.5171, -80.164)"
Haverford Police Department,19083,Delaware,23,23,23,42,NA,NA,"1010 Darby Rd.
Havertown, Pennsylvania
(39.9759, -75.304)"
Prospect Park Borough Police,19076,Delaware,23,23,23,42,NA,NA,"720 Maryland Ave.
Prospect Park, Pennsylvania
(39.8881, -75.3083)"
City of Saint Marys Police Dept.,15857,Elk,24,24,24,42,(814) 781-1315,"7 days a week, 24 hours a day","319 Erie Avenue
Saint Marys, Pennsylvania
(41.4304, -78.5574)"
Philadelphia Police Dept.-25th Police District,19124,Philadelphia,51,51,51,42,(215) 686-3250,Contact location for hours,"3901 Whitaker Ave.
Philadelphia, Pennsylvania
(40.0086, -75.1219)"
Lycoming County Sheriff's Dept.,17701,Lycoming,41,41,41,42,(570) 327-2280,"Monday-Friday, 8:30am-5pm","48 West Third Street
Williamsport, Pennsylvania
(41.2407, -77.0019)"
Northern Regional Police Dept.,15090,Allegheny,2,2,2,42,(724) 625-3157,Contact location for hours,"230 Pearce Mill Road
Wexford, Pennsylvania
(40.6609, -80.0332)"
Crescent Township Police Dept.,15046,Allegheny,2,2,2,42,(724) 457-8100,Contact location for hours,"225 Spring Run Road
Crescent, Pennsylvania
(40.5552, -80.2221)"
Delmont Police Dept.,15626,Westmoreland,65,65,65,42,(724) 468-8501,"7 days a week, 24 hours a day","77 Greensburg Street
Delmont, Pennsylvania
(40.4104, -79.5717)"
West Shore Regional Police Dept.,17043,Cumberland,21,21,21,42,(717) 737-8734,"Monday-Friday, 8:30am-3:30pm ","510 Herman Avenue
Lemoyne, Pennsylvania
(40.2414, -76.8939)"
Northwest Regional Police Dept. ,17022,Lancaster,36,36,36,42,(717) 367-8481,"Monday-Friday, 8am-6pm","155 Merts Drive
Elizabethtown, Pennsylvania
(40.1448, -76.5597)"
Ford City Police Dept.,16226,Armstrong,3,3,3,42,(724) 763-9024,Contact location for hours,"1000 4th Avenue
Ford City, Pennsylvania
(40.7713, -79.5304)"
Borough of Brentwood Police Dept.,15227,Allegheny,2,2,2,42,(412) 884-2600,Contact location for hours,"3624 Brownsville Road
Pittsburgh, Pennsylvania
(40.3732, -79.9759)"
Philadelphia Police Dept.-6th Police District,19107,Philadelphia,51,51,51,42,(215) 686-3060,Contact location for hours,"235 N. 11th Street
Philadelphia, Pennsylvania
(39.9567, -75.1571)"
Penn State University Police & Public Safety,16802,Centre,14,14,14,42,(814) 865-1864,Contact location for hours,"Eisenhower Parking Deck
University Park, Pennsylvania
(40.8023, -77.8609)"
City of Carbondale Police Dept.,18407,Lackawanna,35,35,35,42,(570) 282-4044,"Monday-Friday, 8am-4pm","1 North Main Street
Carbondale, Pennsylvania
(41.5724, -75.5032)"
Rockledge Borough Police Dept.,19046,Montgomery,46,46,46,42,(215) 379-8801,Contact location for hours,"1 Park Avenue
Rockledge, Pennsylvania
(40.082, -75.0907)"
State Police-Troop G / Hollidaysburg,16648,Blair,7,7,7,42,NA,NA,"1510 N Juniata St.
Hollidaysburg, Pennsylvania
(40.4349, -78.4058)"
Schuylkill County Sheriff's Dept.,17901,Schuylkill,54,54,54,42,(570) 628-1440,"Monday-Friday, 8:30am-4:30pm","401 North Second Street
Pottsville, Pennsylvania
(40.6883, -76.1983)"
California University Public Safety,15419,Washington,63,63,63,42,(724) 938-4299,"Monday-Friday, 8:30am-4:30pm","250 University Avenue
California, Pennsylvania
(40.0643, -79.8843)"
Central Bucks Regional Police Dept.,18901,Bucks,9,9,9,42,(215) 345-4143,Contact location for hours,"57 West Court Street
Doylestown, Pennsylvania
(40.3101, -75.132)"
Uniontown Hospital,15401,Fayette,26,26,26,42,(724) 430-5001,Contact location for hours,"500 West Berkeley Street
Uniontown, Pennsylvania
(39.9018, -79.7385)"
State Police-Troop B / Waynesburg,15370,Greene,30,30,30,42,NA,NA,"255 Elm Dr.
Waynesburg, Pennsylvania
(39.8958, -80.1467)"
North Coventry Twp. Police Dept. ,19465,Chester,15,15,15,42,(610) 323-8360,"Monday-Friday, 8am-4pm  ","845 South Hanover Street
Pottstown, Pennsylvania
(40.2311, -75.6555)"
Walnutport Borough Police Dept.,18088,Northampton,48,48,48,42,(610) 767-1134,Contact location for hours,"417 S. Lincoln Avenue
Walnutport, Pennsylvania
(40.7525, -75.5942)"
State Police-Troop D / Mercer,16137,Mercer,43,43,43,42,NA,NA,"826 Franklin Rd.
Mercer, Pennsylvania
(41.6765, -78.6847)"
Butler City Police Dept.,16001,Butler,10,10,10,42,(724) 287-7743,"7 days a week, 24 hours a day","200 West New Castle Street
Butler, Pennsylvania
(40.8617, -79.8968)"
Philadelphia Police Dept.-12th Police District,19142,Philadelphia,51,51,51,42,(215) 686-3120,Contact location for hours,"65th & Woodland Avenues
Philadelphia, Pennsylvania
(39.9256, -75.2343)"
West Brownsville Police Dept.,15417,Washington,63,63,63,42,(724) 785-8434,Contact location for hours,"235 Main Street
West Brownsville, Pennsylvania
(40.0263, -79.887)"
Caln Township Police Department,19372,Chester,15,15,15,42,(610) 383-1821,"Monday-Friday, 8am-4:30pm","253 Municipal Drive
Thorndale, Pennsylvania
(39.9994, -75.754)"
Borough of Pitcairn Police Dept.,15140,Allegheny,2,2,2,42,(412) 867-1943,Contact location for hours,"580 Sixth Street
Pitcairn, Pennsylvania
(40.4054, -79.7762)"
Upper Macungie Twp. Police Dept.,18031,Lehigh,39,39,39,42,(484) 661-5911,"Monday-Friday, 8am-4pm","37 Grim Road
Breinigsville, Pennsylvania
(40.5649, -75.6296)"
Township of Shaler Police Dept.,15116,Allegheny,2,2,2,42,(412) 492-2222,Contact location for hours,"300 Wetzel Road
Glenshaw, Pennsylvania
(40.5241, -79.97)"
Kutztown Police Department ,19530,Berks,6,6,6,42,(610) 683-3545,"Monday-Friday, 8am-4:30pm","45 Railroad Street
Kutztown, Pennsylvania
(40.5208, -75.7761)"
Mifflinburg Police Dept.,17844,Union,60,60,60,42,(570) 966-1027,Contact location for hours,"120 North 3rd Street
Mifflinburg, Pennsylvania
(40.9203, -77.0458)"
Eddystone Police,19022,Delaware,23,23,23,42,NA,NA,"1300 E. 12th St.
Eddystone, Pennsylvania
(39.8629, -75.3446)"
Lehigh Valley Hospital (Salisbury Twp. P.D.),18103,Lehigh,39,39,39,42,(610) 797-1447,Contact location for hours,"1200 S. Cedar Crest Boulevard
Allentown, Pennsylvania
(40.5667, -75.5237)"
Albion Boro Police Department,16401,Erie,25,25,25,42,(814) 756-4869,"Monday-Friday, 9am-4:30pm","15 Smock Ave
Albion, Pennsylvania
(41.8915, -80.3649)"
Walgreens Pharmacy (Warminister Location),18974,Bucks,9,9,9,42,(215) 956û2834,Contact location for hours,"10 YORK RD.
Warminister, Pennsylvania
(40.1911, -75.1038)"
Cambridge Springs Police Dept.,16403,Crawford,20,20,20,42,(814) 398-4112,Contact location for hours,"161 Carringer Street
Cambridge Springs, Pennsylvania
(41.8046, -80.0607)"
Haverford Township Police Department,19083,Delaware,23,23,23,42,(610) 853-1298,Contact location for hours,"1010 Darby Road
Havertown, Pennsylvania
(39.9759, -75.304)"
Weis Markets - Muncy,17756,Lycoming,41,41,41,42,(570) 546-7228,Contact location for hours,"1272 East Penn St.
Muncy, Pennsylvania
(41.2096, -76.7598)"
State Police-Troop D / Kittanning,16201,Armstrong,3,3,3,42,NA,NA,"130 Parkview Dr. Extension
Kittanning, Pennsylvania
(40.8208, -79.5582)"
Upper Darby Police Department,19082,Delaware,23,23,23,42,(610) 352-7050,Contact location for hours,"7236 W. Chester Pike
Upper Darby, Pennsylvania
(39.963, -75.2662)"
State Police-Troop G / Bedford,15522,Bedford,5,5,5,42,NA,NA,"171 Arthur L Hershey Dr.
Bedford, Pennsylvania
(40.0774, -78.5229)"
Lower Paxton Township Police Dept.,17109,Dauphin,22,22,22,42,(717) 657-5656,"Monday-Friday, 8am-4pm","425 Prince Street
Harrisburg, Pennsylvania
(40.2642, -76.8878)"
Indiana Township Police Dept.,15238,Allegheny,2,2,2,42,(412) 767-5333,Contact location for hours,"3710 Saxonburg Boulevard
Pittsburgh, Pennsylvania
(40.5748, -79.8886)"
Decatur Township Police Dept.,16666,Clearfield,17,17,17,42,(814) 339-6775,Contact location for hours,"575 Fairview Road
Osceola Mills, Pennsylvania
(40.8651, -78.2663)"
Borough of Conshohocken Police Dept.,19428,Montgomery,46,46,46,42,(610) 828-4032,Contact location for hours,"400 Fayette Street, Suite 100
Conshohocken, Pennsylvania
(40.0764, -75.3038)"
Lower Pottsgrove Township Police Department,19464,Montgomery,46,46,46,42,(610) 326-1508,"Monday-Friday, 8 am-7pm, or by appointment","2199 Buchert Road
Pottstown, Pennsylvania
(40.2599, -75.6065)"
Slippery Rock Borough Police Dept.,16057,Butler,10,10,10,42,(724) 794-6388,"Monday-Friday, 8am-4pm; by appointment during off-hours","306 East Water Street
Slippery Rock, Pennsylvania
(41.0662, -80.0549)"
Bellefonte Police Department,16823,Centre,14,14,14,42,(814) 353-2320,"Monday-Friday,áá8am-4pm ","236 W Lamb Street
Bellefonte, Pennsylvania
(40.9146, -77.7814)"
Shamokin Dam Police Dept.,17876,Snyder,55,55,55,42,(570) 743-2671,"Monday-Friday, 9am-4:30pm","42 W. 8th Avenue
Shamokin Dam, Pennsylvania
(40.8483, -76.8191)"
Susquehanna Health Pharmacy ,17701,Lycoming,41,41,41,42,(570) 321-2818,Contact location for hours,"740 High St, Ste 1004
Williamsport, Pennsylvania
(41.2466, -77.0163)"
Elk County Sheriff's Office,15853,Elk,24,24,24,42,(814) 776-5353,Contact location for hours,"250 Main Street
Ridgway, Pennsylvania
(41.4214, -78.7296)"
State Police-Troop R / Dunmore,18512,Lackawanna,35,35,35,42,NA,NA,"85 Keystone Industrial Park
Dunmore, Pennsylvania
(41.4358, -75.6152)"
Charleroi Regional Police Dept.,15022,Washington,63,63,63,42,(724) 483-3418,"Monday-Friday, 8am-4pm","338 Fallowfield Avenue
Charleroi, Pennsylvania
(40.1369, -79.8967)"
Southern Clarion County Regional Police Dept.,16242,Clarion,16,16,16,42,(814) 275-1180,Contact location for hours,"220 Broad Street
New Bethlehem, Pennsylvania
(41.0014, -79.3344)"
City of Greensburg Police Dept.,15601,Westmoreland,65,65,65,42,(724) 838-4324,"7 days a week, 24 hours a day","416 S. Main Street
Greensburg, Pennsylvania
(40.2989, -79.5435)"
Shippensburg University Dept. of Public Safety,17257,Cumberland,21,21,21,42,(717) 477-1444,"7 days a week, 24 hours a day","1871 Old Main Street
Shippensburg, Pennsylvania
(40.0578, -77.5221)"
Jenkintown Police Dept.,19046,Montgomery,46,46,46,42,(215) 884-1202,Contact location for hours,"700 Summit Avenue
Jenkintown, Pennsylvania
(40.0941, -75.1266)"
Altoona Police Dept.,16601,Blair,7,7,7,42,(814) 949-2491,"Monday-Friday, 7am-7pm","1106 16th Street
Altoona, Pennsylvania
(40.5132, -78.4057)"
Cumberland Co. Old Prison,17013,Cumberland,21,21,21,42,(717) 240-6392,"Monday-Friday, 8am-4:30pm","37 East High Street
Carlisle, Pennsylvania
(40.2014, -77.1873)"
Bristol Township Police,19007,Bucks,9,9,9,42,(215) 785-4040,Contact location for hours,"2501 Bath Road
Bristol, Pennsylvania
(40.1241, -74.8675)"
Upper Providence Twp. Police Dept.,19456,Montgomery,46,46,46,42,(610) 933-7899,"Monday-Friday, 8am-8pm","1286 Black Rock Road
Oaks, Pennsylvania
(40.1331, -75.4555)"
Chambersburg Police Dept.,17201,Franklin,28,28,28,42,(717) 264-4131,"Monday-Friday, 8am-5pm","116 S. Second Street
Chambersburg, Pennsylvania
(39.9353, -77.6596)"
Walgreens Pharmacy (South Philadelphia Location),19145,Philadelphia,51,51,51,42,(215) 468-2481,Contact location for hours,"2310 W Oregon Avenue
Philadelphia, Pennsylvania
(39.9183, -75.1867)"
Birdsboro Police Department ,19508,Berks,6,6,6,42,NA,"Monday-Friday, 8:30am-4:30pm","200 East Main Street
Birdsboro, Pennsylvania
(40.266, -75.8066)"
Fulton County Sheriff Office,17233,Fulton,29,29,29,42,(717) 485-4221,Contact location for hours,"207 North 2nd Street
McConnellsburg, Pennsylvania
(39.9343, -77.9981)"
East Norriton Police Dept.,19401,Montgomery,46,46,46,42,(610) 272-0748,Contact location for hours,"2501 Stanbridge Street
East Norriton, Pennsylvania
(40.1419, -75.3336)"
Gaines Police Department,16921,Tioga,59,59,59,42,(814) 367-2769,By appointment,"45 Division Street
Gaines, Pennsylvania
(41.7524, -77.5549)"
Springfield Township Police,18951,Bucks,9,9,9,42,(610) 346-6700,"Monday-Friday, 9am-4pm","2320 Township Road
Quakertown, Pennsylvania
(40.5031, -75.3035)"
Lancaster County Adult Probation,17602,Lancaster   ,36,36,36,42,(717) 299-8181,"Monday-Friday, 8am-5pm","40 East King Street
Lancaster, Pennsylvania
(40.0377, -76.304)"
Darby Township Police Department,19079,Delaware,23,23,23,42,(610) 583-3245,"Monday-Friday, 8:30am-4pm","2 Studevan Plaza
Sharon Hill, Pennsylvania
(39.9042, -75.2625)"
Beaver County Courthouse,15009,Beaver,4,4,4,42,(724) 770-4615,Contact location for hours,"810 Third Street
Beaver, Pennsylvania
(40.6947, -80.3085)"
State Police-Troop B / Washington,15330,Washington,63,63,63,42,NA,NA,"150 Rt 519
Eighty Four, Pennsylvania
(40.1342, -80.1314)"
Clinton County Sheriff's Dept. (In the Garden Building across the street from the courthouse),17745,Clinton,18,18,18,42,(570) 893-4070,"Monday, Tuesday, Thursday, Friday, 8am-5pm; Wednesday, 8am-12:30pm","232 East Main Street
Lock Haven, Pennsylvania
(41.1369, -77.4432)"
Marple Township Police Department,19008,Delaware,23,23,23,42,(610) 356-1500,"7 days a week, 24 hours a day","1001 Sussex Blvd
Broomall, Pennsylvania
(39.9621, -75.3563)"
Kane Borough Police Dept.,16735,McKean,42,42,42,42,(814) 837-6440,Contact location for hours,"112 Bayard Street
Kane, Pennsylvania
(41.6612, -78.8094)"
Lower Makefield Twp. Police,19067,Bucks,9,9,9,42,(215) 493-4055,Contact location for hours,"1100 Edgewood Road
Yardley, Pennsylvania
(40.2249, -74.8437)"
West Lampeter Twp. Police Dept.,17537,Lancaster,36,36,36,42,(717) 464-2421,"Monday-Friday, 8am - 4:30pm","852 Village Road
Lampeter, Pennsylvania
(39.9893, -76.2416)"
Cumru Police Department,19540,Berks,6,6,6,42,(610) 777-9595,Contact location for hours,"1775 Welsh Road
Mohnton, Pennsylvania
(40.2801, -75.9715)"
Lower Southampton Twp Police,19053,Bucks,9,9,9,42,(215) 357-1235,"Monday-Friday, 8:15am-4:45pm","1500 Desire Avenue
Feasterville, Pennsylvania
(40.1555, -74.9923)"
Seward Borough Police Dept.,15954,Westmoreland,65,65,65,42,(814) 446-6164,Contact location for hours,"233 Indiana Street
Seward, Pennsylvania
(40.4155, -79.0231)"
Borough of Coplay Police Dept.,18037,Lehigh,39,39,39,42,(610) 262-2288,"Monday-Friday, 8am-4:30pm","98 South Fourth Street
Coplay, Pennsylvania
(40.6702, -75.4918)"
Guthrie Towanda Memorial Hospital (Lobby area),18848,Bradford,8,8,8,42,NA,NA,"91 Hospital Dr
Towanda, Pennsylvania
(41.7841, -76.4485)"
Hampden Township Police Dept.,17050,Cumberland,21,21,21,42,(717) 761-2609,"Monday-Friday, 8am-4pm; Saturday, 8am-12pm","230 S. Sporting Hill Road
Mechanicsburg, Pennsylvania
(40.2361, -76.9716)"
Hazleton City Police Dept. Headquarters,18201,Luzerne,40,40,40,42,(570) 459-4940,"Monday-Friday, 8am-4:30pm","40 North Church Street
Hazleton, Pennsylvania
(40.9562, -75.9769)"
Conewago Twp. Police Dept.,17331,Adams,1,1,1,42,(717) 637-0411,"Monday-Friday, 8am-2pm","541 Oxford Avenue
Hanover, Pennsylvania
(39.8197, -77.0229)"
